"","date","qbtag","time","starting_quad","treat_id","tree_start","treat_fed","g_temp","g_temp_location","air_temp","living_status","dist_center","angle","ground","open_env","Notes","windspeed","weather","page","obs_num","instar","x","y","x_m","y_m","dist_center_m","bearing","ta","card_travel_direction","segment_dist","m_segment_dist","dist_sum","m_dist_sum","release_time"
"1",2017-06-20,12,"7:30","SW","Presence","oak","Starved",10.6,"sun",14.7,1,64,218,0,NA,"",1.3,"overcast",1,10,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,NA,NA,0,0,0
"2",2017-06-20,12,"8:00","SW","Presence","oak","Starved",11.2,"sun",14.3,1,65,220,1,NA,"on ground",0,"overcast",1,30,5,-41.781194629625,-49.7928888027336,-12.7349081231097,-15.1768725070732,19.812,285.053599203367,-74.9464007966335,"W",2.46339586772478,0.750843060482513,2.46339586772478,0.750843060482513,30
"3",2017-06-20,12,"8:30","SW","Presence","oak","Starved",11.4,"sun",15.2,1,64,218,1,NA,"on ground",3.8,"overcast",1,44,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,105.053599203366,-180,"E",2.46339586772478,0.750843060482513,4.92679173544956,1.50168612096503,60
"4",2017-06-20,12,"9:00","SW","Presence","oak","Starved",12.2,"sun",16.4,1,64,218,1,NA,"on ground",2.1,"overcast",2,9,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,90
"5",2017-06-20,12,"9:30","SW","Presence","oak","Starved",13,"sun",18.2,1,64,218,1,NA,"on ground",2.5,"overcast",3,13,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,120
"6",2017-06-20,12,"10:00","SW","Presence","oak","Starved",17.3,"sun",20.9,1,64,218,1,NA,"on ground",0.6,"mostly cloudy",3,30,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,150
"7",2017-06-20,12,"10:30","SW","Presence","oak","Starved",14.9,"sun",18.9,1,64,218,1,NA,"on ground",3.1,"overcast",3,47,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,180
"8",2017-06-20,12,"11:00","SW","Presence","oak","Starved",14.6,"sun",20.1,1,64,218,1,NA,"on ground",1.2,"partly cloudy",4,13,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,210
"9",2017-06-20,12,"11:30","SW","Presence","oak","Starved",18.7,"sun",22.4,1,64,218,1,NA,"",0,"partly cloudy",4,27,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,240
"10",2017-06-20,12,"12:00","SW","Presence","oak","Starved",19.5,"sun",22.4,1,64,218,1,NA,"",4.3,"mostly sunny",4,46,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,270
"11",2017-06-20,12,"12:30","SW","Presence","oak","Starved",18.2,"sun",21.9,1,64,218,1,NA,"",1.2,"partly sunny",15,8,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,300
"12",2017-06-20,12,"13:00","SW","Presence","oak","Starved",15.5,"shade",26.9,1,64,218,1,NA,"",1.4,"partly sunny",15,26,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,330
"13",2017-06-20,12,"13:30","SW","Presence","oak","Starved",18.9,"shade",23.7,1,64,218,1,NA,"",1.2,"sunny",5,12,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,360
"14",2017-06-20,12,"14:00","SW","Presence","oak","Starved",21.4,"sun",24.6,1,64,218,1,NA,"",2.9,"partly sunny",5,29,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,390
"15",2017-06-20,12,"14:30","SW","Presence","oak","Starved",24.2,"sun",26.6,1,64,218,1,NA,"",2.2,"mostly sunny",5,42,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,420
"16",2017-06-20,12,"15:00","SW","Presence","oak","Starved",17.3,"shade",25.2,1,64,218,1,NA,"",3.3,"mostly sunny",6,11,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,450
"17",2017-06-20,12,"15:30","SW","Presence","oak","Starved",19.7,"shade",26.2,1,64,218,1,NA,"",3,"mostly sunny",6,27,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,480
"18",2017-06-20,12,"16:00","SW","Presence","oak","Starved",17.9,"sun",23.3,1,64,218,1,NA,"",0.5,"mostly cloudy",6,43,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,510
"19",2017-06-20,12,"16:30","SW","Presence","oak","Starved",16.4,"shade",27.7,1,64,218,1,NA,"",0,"mostly sunny",6,57,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,540
"20",2017-06-20,12,"17:00","SW","Presence","oak","Starved",18.2,"sun",29,1,64,218,1,NA,"",0,"sunny",2,26,5,-39.4023344208421,-50.4326882308302,-12.0098315314727,-15.371883372757,19.5072,NA,NA,NA,0,0,4.92679173544956,1.50168612096503,570
"21",2017-06-20,13,"7:30","NW","Absence",NA,"Fed",11.3,"sun",14.1,1,84,320,1,1,"",3.7,"overcast",1,14,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,NA,NA,0,0,0
"22",2017-06-20,13,"8:00","NW","Absence",NA,"Fed",11.7,"sun",15.7,1,84,320,1,1,"",0,"overcast",1,31,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,30
"23",2017-06-20,13,"8:30","NW","Absence",NA,"Fed",11,"sun",15.7,1,84,320,1,1,"",0,"overcast",1,48,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,60
"24",2017-06-20,13,"9:00","NW","Absence",NA,"Fed",13.1,"sun",16.8,1,84,320,1,1,"",1.7,"overcast",2,11,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,90
"25",2017-06-20,13,"9:30","NW","Absence",NA,"Fed",12.8,"sun",16.9,1,84,320,1,1,"",3.2,"overcast",3,16,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,120
"26",2017-06-20,13,"10:00","NW","Absence",NA,"Fed",15.5,"sun",18.7,1,84,320,1,1,"",2.8,"mostly cloudy",3,32,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,150
"27",2017-06-20,13,"10:30","NW","Absence",NA,"Fed",15.4,"sun",19.8,1,84,320,1,1,"",1,"overcast",3,48,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,180
"28",2017-06-20,13,"11:00","NW","Absence",NA,"Fed",18.3,"sun",19.4,1,84,320,1,1,"",2.5,"partly cloudy",4,15,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,210
"29",2017-06-20,13,"11:30","NW","Absence",NA,"Fed",21.6,"sun",21.2,1,84,320,1,1,"",0,"partly cloudy",4,32,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,240
"30",2017-06-20,13,"12:00","NW","Absence",NA,"Fed",20.3,"sun",23.4,1,84,320,1,1,"",0,"mostly sunny",4,51,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,270
"31",2017-06-20,13,"12:30","NW","Absence",NA,"Fed",23.1,"sun",23.3,1,84,320,1,1,"",1.6,"partly sunny",15,10,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,300
"32",2017-06-20,13,"13:00","NW","Absence",NA,"Fed",27.4,"sun",27.2,1,84,320,1,1,"",0,"partly sunny",15,28,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,330
"33",2017-06-20,13,"13:30","NW","Absence",NA,"Fed",23.6,"sun",25.6,1,84,320,1,1,"",0,"sunny",5,14,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,360
"34",2017-06-20,13,"14:00","NW","Absence",NA,"Fed",32,"sun",26.6,1,84,320,1,1,"",0.2,"partly sunny",5,31,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,390
"35",2017-06-20,13,"14:30","NW","Absence",NA,"Fed",31.3,"sun",24.9,1,84,320,1,1,"",1.1,"mostly sunny",5,47,5,-53.9941592136693,64.3477332219941,-16.4574197283264,19.6131890860638,25.6032,NA,NA,NA,0,0,0,0,420
"36",2017-06-20,13,"15:00","NW","Absence",NA,"Fed",32.3,"sun",26.4,1,83,320,1,1,"",3.3,"mostly sunny",6,13,5,-53.3513716039828,63.5816887788752,-16.261498064894,19.3796987398011,25.2984,140,140,"SE",1,0.304800000000001,1,0.304800000000001,450
"37",2017-06-20,13,"15:30","NW","Absence",NA,"Fed",36.4,"sun",25.9,1,83,320,1,1,"",0.4,"mostly sunny",6,29,5,-53.3513716039828,63.5816887788752,-16.261498064894,19.3796987398011,25.2984,NA,NA,NA,0,0,1,0.304800000000001,480
"38",2017-06-20,13,"16:00","NW","Absence",NA,"Fed",26.9,"sun",22.2,1,83,320,1,1,"",0,"mostly cloudy",6,45,5,-53.3513716039828,63.5816887788752,-16.261498064894,19.3796987398011,25.2984,NA,NA,NA,0,0,1,0.304800000000001,510
"39",2017-06-20,13,"16:30","NW","Absence",NA,"Fed",32.9,"sun",27.6,1,83,320,1,1,"",0,"sunny",2,16,5,-53.3513716039828,63.5816887788752,-16.261498064894,19.3796987398011,25.2984,NA,NA,NA,0,0,1,0.304800000000001,540
