date,time,hour,air.temp,surf.type,g.temp,overcast_id,overcast,rain_id,rain,notes
7/19/2016,13:32:00,13,35.1,wood,47,,sun,0,no,
7/19/2016,13:34:00,13,33.6,s.granite,37,,sun,0,no,
7/19/2016,13:36:00,13,33.3,g.granite,49.8,,sun,0,no,
7/19/2016,13:39:00,13,32.8,w.mulch,37.3,,sun,0,no,
7/19/2016,13:40:00,13,33,d.mulch,54,,sun,0,no,
7/19/2016,15:16:00,15,33.9,wood,54.5,,sun,0,no,
7/19/2016,15:17:00,15,34.4,g.granite,47.4,,sun,0,no,
7/19/2016,15:18:00,15,34,d.mulch,52.1,,sun,0,no,
7/19/2016,15:19:00,15,34,w.mulch,34.6,,sun,0,no,
7/19/2016,15:20:00,15,34.3,s.granite,40.7,,sun,0,no,
7/19/2016,17:11:00,17,34.1,d.mulch,48.6,,sun,0,no,
7/19/2016,17:12:00,17,33.3,g.granite,43,,sun,0,no,
7/19/2016,17:13:00,17,33.8,wood,48.8,,sun,0,no,
7/19/2016,17:14:00,17,33.9,w.mulch,28.5,,sun,0,no,
7/19/2016,17:15:00,17,33.7,s.granite,37.5,,sun,0,no,
7/20/2016,8:21:00,8,23.8,w.mulch,23.8,,overcast,0,no,
7/20/2016,8:22:00,8,24.1,wood,23.3,,overcast,0,no,
7/20/2016,8:22:00,8,23.8,g.granite,25.6,,overcast,0,no,
7/20/2016,8:23:00,8,23.1,s.granite,24.3,,overcast,0,no,
7/20/2016,8:23:00,8,23.4,d.mulch,25.5,,overcast,0,no,
7/20/2016,9:20:00,9,27.8,s.granite,28.2,,sun,0,no,
7/20/2016,9:20:00,9,27.9,g.granite,32.3,,sun,0,no,
7/20/2016,9:24:00,9,27.4,wood,35,,sun,0,no,
7/20/2016,9:24:00,9,28.1,w.mulch,31,,sun,0,no,
7/20/2016,9:25:00,9,28.2,d.mulch,37,,sun,0,no,
7/20/2016,10:18:00,10,30.2,s.granite,32.8,,sun,0,no,
7/20/2016,10:19:00,10,30.8,g.granite,37.6,,sun,0,no,
7/20/2016,10:20:00,10,30.8,wood,39.6,,sun,0,no,
7/20/2016,10:20:00,10,31.3,d.mulch,46.3,,sun,0,no,
7/20/2016,10:21:00,10,30.8,w.mulch,31.3,,sun,0,no,
7/20/2016,11:21:00,11,24.6,g.granite,28.3,,overcast,1,yes,
7/20/2016,11:22:00,11,24.8,wood,26.3,,overcast,1,yes,
7/20/2016,11:22:00,11,24.9,d.mulch,26,,overcast,1,yes,
7/20/2016,11:23:00,11,24.8,w.mulch,23,,overcast,1,yes,
7/20/2016,11:23:00,11,25,s.granite,27.1,,overcast,1,yes,
7/20/2016,12:12:00,12,25.4,s.granite,27.6,,overcast,1,yes,
7/20/2016,12:14:00,12,24.8,w.mulch,25.7,,overcast,1,yes,
7/20/2016,12:13:00,12,25.7,d.mulch,29.5,,overcast,1,yes,
7/20/2016,12:13:00,12,26,wood,29.2,,overcast,1,yes,
7/20/2016,12:14:00,12,25.6,g.granite,28.8,,overcast,1,yes,
7/20/2016,13:14:00,13,31.8,s.granite,38,,sun,0,no,
7/20/2016,13:14:00,13,33.1,wood,44.6,,sun,0,no,
7/20/2016,13:14:00,13,34.2,g.granite,46.6,,sun,0,no,
7/20/2016,13:15:00,13,33.2,d.mulch,57.3,,sun,0,no,
7/20/2016,13:15:00,13,32.7,w.mulch,34.4,,sun,0,no,
7/20/2016,14:31:00,14,32.3,s.granite,38.2,,sun,0,no,
7/20/2016,14:31:00,14,32.8,wood,45.4,,sun,0,no,
7/20/2016,14:32:00,14,33.7,g.granite,44.2,1,sun,0,no,
7/20/2016,14:33:00,14,32.7,d.mulch,51.9,1,sun,0,no,
7/20/2016,14:33:00,14,32.4,w.mulch,32.3,1,sun,0,no,
7/20/2016,15:15:00,15,31.4,s.granite,38.3,1,sun,0,no,
7/20/2016,15:15:00,15,31,g.granite,44,1,sun,0,no,
7/20/2016,15:16:00,15,31,wood,47,1,sun,0,no,
7/20/2016,15:16:00,15,32,d.mulch,50.8,1,sun,0,no,
7/20/2016,15:17:00,15,31.6,w.mulch,33.4,1,sun,0,no,
7/20/2016,16:14:00,16,35.1,s.granite,41.7,1,sun,0,no,
7/20/2016,16:16:00,16,36.7,g.granite,45.6,1,sun,0,no,
7/20/2016,16:17:00,16,36.4,d.mulch,53.2,1,sun,0,no,
7/20/2016,17:09:00,17,36.2,wood,52.4,1,sun,0,no,
7/20/2016,17:09:00,17,36.6,w.mulch,35.7,1,sun,0,no,
7/20/2016,17:10:00,17,30.1,s.granite,33.6,1,sun,0,no,
7/20/2016,17:10:00,17,30.7,wood,33.1,1,sun,0,no,
7/20/2016,17:10:00,17,30.5,g.granite,35.2,1,sun,0,no,
7/21/2016,9:51:00,9,22.9,s.granite,21,0,overcast,1,yes,no dry mulch
7/21/2016,9:51:00,9,22.9,g.granite,21.3,0,overcast,1,yes,
7/21/2016,9:51:00,9,22.8,wood,21.4,0,overcast,1,yes,
7/21/2016,9:51:00,9,22.9,w.mulch,21.6,0,overcast,1,yes,
7/21/2016,10:18:00,10,24.8,s.granite,21.2,0,overcast,0,no,
7/21/2016,10:18:00,10,24.8,g.granite,22.8,0,overcast,0,no,
7/21/2016,10:19:00,10,24.8,wood,22.6,0,overcast,0,no,
7/21/2016,10:19:00,10,24.8,w.mulch,22.9,0,overcast,0,no,
7/21/2016,11:16:00,11,26.6,s.granite,26.7,1,sun,0,no,
7/21/2016,11:16:00,11,26.9,g.granite,28.1,1,sun,0,no,
7/21/2016,11:17:00,11,26.9,wood,30.9,1,sun,0,no,
7/21/2016,12:24:00,12,28.1,g.granite,34,1,sun,0,no,new page
7/21/2016,12:24:00,12,28.1,s.granite,33.3,1,sun,0,no,
7/21/2016,12:24:00,12,28.1,wood,33.5,1,sun,0,no,
7/21/2016,12:25:00,12,28.1,w.mulch,33.6,1,sun,0,no,
7/21/2016,13:18:00,13,31.2,s.granite,37.5,1,sun,0,no,
7/21/2016,13:18:00,13,31.2,g.granite,38.3,1,sun,0,no,
7/21/2016,13:19:00,13,31.2,w.mulch,37.2,1,sun,0,no,
7/21/2016,13:19:00,13,31.2,wood,39.6,1,sun,0,no,
7/21/2016,14:13:00,14,30.2,s.granite,33.8,0,overcast,0,no,
7/21/2016,14:13:00,14,30.9,g.granite,32.4,0,overcast,0,no,
7/21/2016,14:14:00,14,31,wood,31.5,0,overcast,0,no,
7/21/2016,14:14:00,14,31,w.mulch,31.1,0,overcast,0,no,
7/21/2016,15:13:00,15,27,s.granite,28.2,0,overcast,0,no,
7/21/2016,15:13:00,15,27.4,g.granite,26.7,0,overcast,0,no,
7/21/2016,15:13:00,15,27.4,wood,25.5,0,overcast,0,no,
7/21/2016,15:14:00,15,27.4,w.mulch,26.3,0,overcast,0,no,
7/21/2016,16:11:00,16,26.2,s.granite,24.8,0,overcast,0,no,
7/21/2016,16:12:00,16,26.3,g.granite,24,0,overcast,0,no,
7/21/2016,16:12:00,16,26.4,w.mulch,24.3,0,overcast,0,no,
7/21/2016,16:12:00,16,26.5,wood,23.5,0,overcast,0,no,
7/21/2016,17:16:00,17,24,s.granite,23.5,0,overcast,0,no,
7/21/2016,17:16:00,17,24.1,g.granite,23,0,overcast,0,no,
7/21/2016,17:17:00,17,24.1,wood,21.8,0,overcast,0,no,
7/21/2016,17:17:00,17,24.2,w.mulch,22.9,0,overcast,0,no,
7/21/2016,18:05:00,18,25.7,s.granite,24.7,1,sun,0,no,
7/21/2016,18:06:00,18,26.4,g.granite,25,1,sun,0,no,
7/21/2016,18:07:00,18,26.3,wood,24,1,sun,0,no,
7/21/2016,18:07:00,18,24.2,w.mulch,22.9,1,sun,0,no,
7/23/2016,6:28:00,6,23.1,s.granite,18.8,1,sun,0,no,
7/23/2016,6:28:00,6,23,g.granite,19.9,1,sun,0,no,
7/23/2016,6:29:00,6,23.1,d.mulch,20.4,1,sun,0,no,
7/23/2016,6:29:00,6,23.2,w.mulch,17.3,1,sun,0,no,
7/23/2016,6:29:00,6,23.3,wood,19.5,1,sun,0,no,
7/23/2016,7:24:00,7,25.1,s.granite,20.4,1,sun,0,no,
7/23/2016,7:24:00,7,25,g.granite,22.3,1,sun,0,no,
7/23/2016,7:24:00,7,24.9,wood,22.5,1,sun,0,no,
7/23/2016,7:25:00,7,25,w.mulch,21.2,1,sun,0,no,
7/23/2016,7:25:00,7,25.4,d.mulch,22.4,1,sun,0,no,
7/23/2016,8:25:00,8,30.4,s.granite,25.9,1,sun,0,no,
7/23/2016,8:26:00,8,31,g.granite,30,1,sun,0,no,
7/23/2016,8:26:00,8,31.2,w.mulch,26.7,1,sun,0,no,
7/23/2016,8:27:00,8,31.6,d.mulch,32.6,1,sun,0,no,
7/23/2016,8:27:00,8,31.9,wood,33.6,1,sun,0,no,
7/23/2016,9:27:00,9,33,s.granite,30,1,sun,0,no,
7/23/2016,9:27:00,9,33,s.granite,30,1,sun,0,no,
7/23/2016,9:27:00,9,33.6,g.granite,34.2,1,sun,0,no,
7/23/2016,9:28:00,9,33.6,w.mulch,29.7,1,sun,0,no,
7/23/2016,9:28:00,9,33.7,d.mulch,38.5,1,sun,0,no,
7/23/2016,9:28:00,9,34,wood,38.8,1,sun,0,no,
7/23/2016,10:23:00,10,36.2,s.granite,34.5,1,sun,0,no,
7/23/2016,10:23:00,10,37.2,g.granite,40.8,1,sun,0,no,
7/23/2016,10:24:00,10,35.5,w.mulch,31.5,1,sun,0,no,
7/23/2016,10:25:00,10,36,d.mulch,42.9,1,sun,0,no,
7/23/2016,10:25:00,10,36,wood,42.6,1,sun,0,no,
7/23/2016,11:12:00,11,35.8,s.granite,35.7,1,sun,0,no,
7/23/2016,11:12:00,11,37.2,g.granite,40.8,1,sun,0,no,
7/23/2016,11:13:00,11,36.9,w.mulch,32,1,sun,0,no,
7/23/2016,11:13:00,11,37.2,d.mulch,45,1,sun,0,no,
7/23/2016,11:14:00,11,36.8,wood,43,1,sun,0,no,
7/23/2016,12:11:00,12,32.3,s.granite,33.9,0,overcast,0,no,
7/23/2016,12:11:00,12,32,g.granite,36.8,0,overcast,0,no,
7/23/2016,12:11:00,12,32.3,w.mulch,30,0,overcast,0,no,
