substrate,g.temp,hour,sub.id
d.mulch,18.95,6,1
d.mulch,23.6,7,1
d.mulch,30.93333333,8,1
d.mulch,39.03333333,9,1
d.mulch,41.65,10,1
d.mulch,36.4,11,1
d.mulch,36.225,12,1
d.mulch,47.96,13,1
d.mulch,46.55,14,1
d.mulch,47.36,15,1
d.mulch,44.625,16,1
d.mulch,48.6,17,1
d.mulch,.,18,1
g.granite,19.86666667,6,2
g.granite,23.16666667,7,2
g.granite,27.525,8,2
g.granite,29.68,9,2
g.granite,32.62,10,2
g.granite,34.22,11,2
g.granite,35.16,12,2
g.granite,43.4,13,2
g.granite,39.98,14,2
g.granite,39.38333333,15,2
g.granite,35.22,16,2
g.granite,33.73333333,17,2
g.granite,25,18,2
s.granite,19.13333333,6,3
s.granite,21.1,7,3
s.granite,24.95,8,3
s.granite,27.38333333,9,3
s.granite,30.1,10,3
s.granite,30.76,11,3
s.granite,32.04,12,3
s.granite,36.65,13,3
s.granite,36.34,14,3
s.granite,35.63333333,15,3
s.granite,33.86,16,3
s.granite,31.53333333,17,3
s.granite,24.7,18,3
w.mulch,18.2,6,4
w.mulch,22.16666667,7,4
w.mulch,24.875,8,4
w.mulch,26.9,9,4
w.mulch,29.04,10,4
w.mulch,29.05,11,4
w.mulch,29.86,12,4
w.mulch,34.21666667,13,4
w.mulch,34.76,14,4
w.mulch,31.06666667,15,4
w.mulch,28.175,16,4
w.mulch,29.03333333,17,4
w.mulch,22.9,18,4
wood,19,6,5
wood,23.36666667,7,5
wood,29.675,8,5
wood,32.8,9,5
wood,37.18,10,5
wood,36.86,11,5
wood,36.18,12,5
wood,45.18333333,13,5
wood,37.94,14,5
wood,40.03333333,15,5
wood,31.375,16,5
wood,39.025,17,5
wood,24,18,5
air,20.8,6,6
air,23.3,7,6
air,26,8,6
air,27.5,9,6
air,28.7,10,6
air,29.1,11,6
air,29.2,12,6
air,30.7,13,6
air,30.8,14,6
air,30.7,15,6
air,30.5,16,6
air,29.2,17,6
air,29,18,6
