Barrier,Instar,Cross
Control,4,1
Control,4,1
Control,4,1
Control,4,1
Control,4,1
Control,4,1
Control,4,1
Control,4,1
Control,4,1
Control,4,1
Ash,4,1
Ash,4,1
Ash,4,1
Ash,4,1
Ash,4,1
Ash,4,1
Ash,4,1
Ash,4,1
Ash,4,1
Ash,4,1
DE,4,0
DE,4,0
DE,4,0
DE,4,0
DE,4,0
DE,4,0
DE,4,0
DE,4,0
DE,4,0
DE,4,0
TF,4,0
TF,4,0
TF,4,0
TF,4,0
TF,4,0
TF,4,0
TF,4,0
TF,4,0
TF,4,0
TF,4,0
Fluon,4,1
Fluon,4,0
Fluon,4,0
Fluon,4,0
Fluon,4,0
Fluon,4,0
Fluon,4,0
Fluon,4,0
Fluon,4,0
Fluon,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Moat,4,0
Control,5,1
Control,5,1
Control,5,1
Control,5,1
Control,5,1
Control,5,1
Control,5,1
Control,5,1
Control,5,1
Control,5,1
Ash,5,1
Ash,5,1
Ash,5,1
Ash,5,1
Ash,5,1
Ash,5,1
Ash,5,1
Ash,5,0
Ash,5,0
Ash,5,0
DE,5,0
DE,5,0
DE,5,0
DE,5,0
DE,5,1
DE,5,0
DE,5,0
DE,5,0
DE,5,0
DE,5,0
TF,5,0
TF,5,0
TF,5,0
TF,5,1
TF,5,0
TF,5,0
TF,5,0
TF,5,0
TF,5,0
TF,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Fluon,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Moat,5,0
Control,6,1
Control,6,1
Control,6,1
Control,6,1
Ash,6,1
Ash,6,1
Ash,6,1
DE,6,0
DE,6,0
DE,6,0
DE,6,0
TF,6,0
TF,6,0
TF,6,0
Fluon,6,0
Fluon,6,0
Fluon,6,0
Moat,6,0
Moat,6,0
Moat,6,0
