date,qbtag,time,hour,release_time,g_temp,g_temp_location,air_temp,dist_center,angle,ground,windspeed,living_status,living_status_log,status,treat_num,treat_id
7/18/2016,1,8:06,8,0,22.3,sun,24.2,100,154,1,2,2,1,0,1A,Absence
7/18/2016,1,9:20,9,74,28.8,sun,25.1,100,168,1,0,2,1,0,1A,Absence
7/18/2016,1,10:15,10,129,28.7,sun,26.9,99,164,1,3.2,2,1,0,1A,Absence
7/18/2016,1,11:13,11,187,39.4,sun,35.2,90,161,1,1,2,1,0,1A,Absence
7/18/2016,1,12:08,12,242,42.3,sun,30.4,83,165,1,3,2,1,0,1A,Absence
7/18/2016,1,13:10,13,304,44.7,sun,30.1,80,165,1,4.2,2,1,0,1A,Absence
7/18/2016,1,14:02,14,356,46.5,sun,29.5,80,165,1,3.8,0,0,1,1A,Absence
7/18/2016,1,15:02,15,416,41.6,sun,29.9,80,165,1,5.7,0,0,1,1A,Absence
7/18/2016,1,16:00,16,474,46.7,sun,30.6,80,165,1,5.8,0,0,1,1A,Absence
7/18/2016,1,17:08,17,542,30.6,sun,27.9,80,165,1,5.3,0,0,1,1A,Absence
7/18/2016,1,18:05,18,599,30.1,sun,29.2,80,165,1,2.7,0,0,1,1A,Absence
7/18/2016,2,8:06,8,0,26,sun,24.2,100,154,1,2,2,1,0,2A,Absence
7/18/2016,2,9:20,9,74,20.5,sun,25.1,95,163,1,,2,1,0,2A,Absence
7/18/2016,2,10:15,10,129,26.1,sun,26.9,100,162,1,3.2,2,1,0,2A,Absence
7/18/2016,2,11:13,11,187,52.8,sun,35.2,101,160,1,1,2,1,0,2A,Absence
7/18/2016,2,12:12,12,246,36.2,sun,30.4,101,161,1,3,2,1,0,2A,Absence
7/18/2016,2,13:12,13,306,35.6,sun,30.1,101,161,1,4.2,2,1,0,2A,Absence
7/18/2016,2,14:02,14,356,36.5,sun,29.5,101,161,1,3.8,2,1,0,2A,Absence
7/18/2016,2,15:02,15,416,30.3,sun,29.9,98,153,1,5.7,2,1,0,2A,Absence
7/18/2016,2,16:00,16,474,30,sun,30.6,98,153,1,5.8,2,1,0,2A,Absence
7/18/2016,2,17:08,17,542,24.6,sun,27.9,98,153,1,5.3,2,1,0,2A,Absence
7/18/2016,2,18:05,18,599,24.8,sun,29.2,98,153,1,2.7,2,1,0,2A,Absence
7/18/2016,4,8:06,8,0,26.3,sun,24.2,100,154,1,2,2,1,0,3A,Absence
7/18/2016,4,9:20,9,74,28.8,sun,25.1,97,162,1,0,2,1,0,3A,Absence
7/18/2016,4,10:15,10,129,27.9,sun,26.9,108,159,1,3.2,2,1,0,3A,Absence
7/18/2016,4,11:13,11,187,39.8,sun,35.2,91,161,1,1,2,1,0,3A,Absence
7/18/2016,4,12:06,12,240,50,sun,30.4,77,165,1,3,2,1,0,3A,Absence
7/18/2016,4,13:08,13,302,42.9,sun,30.1,77,165,1,4.2,0,0,1,3A,Absence
7/18/2016,4,14:02,14,356,50.3,sun,29.5,77,165,1,3.8,0,0,1,3A,Absence
7/18/2016,4,15:02,15,416,44.2,sun,29.9,77,165,1,5.7,0,0,1,3A,Absence
7/18/2016,4,16:00,16,474,46.8,sun,30.6,77,165,1,5.8,0,0,1,3A,Absence
7/18/2016,4,17:08,17,542,30.8,sun,27.9,77,165,1,5.3,0,0,1,3A,Absence
7/18/2016,4,18:05,18,599,34.8,sun,29.2,77,165,1,2.7,0,0,1,3A,Absence
7/18/2016,5,8:11,8,0,23.4,sun,24.4,100,222,1,3.1,2,1,0,4A,Absence
7/18/2016,5,9:01,9,50,28.4,sun,26,100,222,1,2.2,2,1,0,4A,Absence
7/18/2016,5,10:01,10,110,25.6,shade,25.5,100,222,1,2.2,2,1,0,4A,Absence
7/18/2016,5,10:59,11,168,28.1,sun,30.3,100,222,1,2,2,1,0,4A,Absence
7/18/2016,5,12:00,12,229,31.1,sun,29.6,100,222,1,2.8,2,1,0,4A,Absence
7/18/2016,5,13:05,13,294,27.7,sun,30.3,100,222,1,0.7,2,1,0,4A,Absence
7/18/2016,5,14:00,14,349,32.2,sun,27.3,100,222,1,4.4,2,1,0,4A,Absence
7/18/2016,5,15:00,15,409,30.4,sun,27.9,100,222,1,5.5,2,1,0,4A,Absence
7/18/2016,5,15:57,16,466,30.7,sun,29.3,100,222,1,4.4,2,1,0,4A,Absence
7/18/2016,5,17:04,17,533,28.4,sun,29.1,100,222,1,2.2,2,1,0,4A,Absence
