"","qbtag","total_path_distance","displacement","displacement_bearing","mvmt_index","treat_id","treat_fed","starting_quad","instar","m_total_path","m_displacement","alt_index"
"1",12,4.92679173544956,0,NA,NA,"Presence","Starved","SW",5,1.50168612096503,0,0
"2",13,2.00000000000001,0,NA,NA,"Absence","Fed","NW",5,0.609600000000002,0,0
"3",14,12,0,NA,NA,"Presence","Starved","NE",5,3.65760000000001,0,0
"4",15,0,0,NA,NA,"Absence","Starved","NW",5,0,0,NA
"5",17,46.407022631169,37.2502394110711,53.9888743792562,1.24581810385295,"Presence","Starved","SW",5,14.1448604979803,11.3538729724945,0.802685397577137
"6",18,8.0132877876878,5.91328023832888,61.7301388457907,1.35513411587481,"Absence","Fed","NW",6,2.44245011768724,1.80236781664264,0.737934340435704
"7",19,0,0,NA,NA,"Presence","Fed","NE",5,0,0,NA
"8",20,0,0,NA,NA,"Presence","Starved","SW",6,0,0,NA
"9",21,201.973905471369,54.7161648323322,9.06210974819829,3.69130230691938,"Absence","Starved","SE",6,61.5616463876733,16.6774870408949,0.270907099135579
"10",22,0,0,NA,NA,"Presence","Fed","SW",5,0,0,NA
"11",23,0,0,NA,NA,"Presence","Fed","NE",5,0,0,NA
"12",24,75.3231028999344,18.8747206620815,52.7586910643668,3.9906870278221,"Presence","Fed","SW",5,22.9584817639,5.75301485780245,0.250583419102587
"13",25,86.7794886331532,0,NA,NA,"Absence","Fed","SE",5,26.4503881353851,0,0
"14",26,2.00000000000001,0,NA,NA,"Absence","Fed","NW",5,0.609600000000002,0,0
"15",27,159.513481690589,43.3897443165766,344.388302727564,3.67629457612748,"Absence","Starved","SE",5,48.6197092192915,13.2251940676926,0.27201302270325
"16",28,125.117269709813,101.263324119984,323.925193152557,1.23556352506822,"Absence","Fed","SE",6,38.1357438075511,30.8650611917713,0.809347297578074
"17",28.1,116.733412186958,100.291805078007,326.158726248629,1.1639376925778,"Absence","Fed","SE",6,35.5803440345849,30.5689421877765,0.859152518538406
"18",28.2,15.3263526078408,5,220,3.06527052156816,"Absence","Fed","NE",6,4.67147227486988,1.524,0.326235480021649
"19",29,0,0,NA,NA,"Presence","Starved","NE",5,0,0,NA
"20",30,32.7226804603817,15.6268987402105,165.999256541541,2.09399708825022,"Absence","Fed","SW",5,9.97387300432435,4.76307873601616,0.477555582866459
"21",30.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"22",31,9.32467863997917,9.28522241366429,316.407978701374,1.00424935715668,"Absence","Starved","SW",6,2.84216204946565,2.83013579168488,0.995768623473444
"23",32,0,0,NA,NA,"Presence","Fed","SE",5,0,0,NA
"24",33,0,0,NA,NA,"Presence","Starved","SE",6,0,0,NA
"25",34,0,0,NA,NA,"Presence","Fed","SE",5,0,0,NA
"26",35,0,0,NA,NA,"Presence","Fed","NE",6,0,0,NA
"27",36,0,0,NA,NA,"Presence","Starved","SE",6,0,0,NA
